userId,name,gender,age,occupation,zip_code
3,Nicole Cooper,F,36,1,72027
5,Jaclyn Anderson,F,26,8,89092
19,Thomas Smith,M,23,1,36065
72,Eric Reed,M,24,13,55842
80,Julie Hodges,F,62,1,67484
131,Roy Shah,M,53,3,66796
137,Kevin Terrell,M,38,16,38741
141,Ashlee Smith,F,26,12,81746
147,Roger Baxter,M,28,28,34965
201,Alexandra Jackson,F,31,27,86898
216,Aaron Herring,M,56,5,61780
218,Michelle Oconnor,F,43,13,91202
230,Joel Thompson,M,31,4,19869
239,Anthony Frazier,M,26,11,59049
267,Michael Grant,M,27,20,48791
280,Timothy Walker,M,53,10,83962
304,Lisa Johnson,F,61,19,35249
318,Jose Byrd,M,34,20,25835
321,Robert Moore,M,42,27,51205
323,Jessica Bentley,F,66,30,80999
333,Heather Miller,F,48,20,56619
357,Mike Walsh,M,26,16,06712
370,Lisa Collins,F,70,17,41044
382,Michael Adams,M,56,10,08608
419,Jamie Wood,F,23,21,67262
431,William Watson,M,23,11,13225
440,Cody Serrano,M,47,4,19523
450,Kelly Bennett,F,49,18,89518
460,Gregory Love,M,25,5,87732
465,Jessica Burgess,F,30,12,28529
469,Jennifer Hickman,F,42,25,44386
489,Brittany Cooper,F,61,18,86619
493,Andrew Russell,M,37,21,60226
494,Gloria Hunt,F,35,3,16916
501,Michelle Moore,F,62,20,42689
504,Jason Barnes,M,34,29,08511
541,Heather Mueller,F,26,24,96210
548,Michael Murray,M,22,27,35567
575,William Jones,M,21,28,35669
581,Jessica Baker,F,58,15,54483
591,Michelle Peters,F,58,25,02957
611,James Gross,M,30,7,73527
613,Joe Wood,M,47,4,70375
624,Toni King,F,53,6,16527
626,Jillian Taylor,F,44,2,91234
648,Nicholas Wheeler,M,14,8,51711
655,Donna White,F,47,21,59819
707,Matthew Davis,M,51,12,16284
709,Shelley Vasquez,F,69,14,43390
740,Beth Werner,F,40,10,85755
757,Veronica Reyes,F,24,28,43866
779,Lisa Cobb,F,17,15,84203
837,Jessica Hull,F,39,18,31433
846,Barbara Frank,F,39,20,10635
847,Jeremy Parks,M,18,17,40953
856,Amanda Cruz,F,41,6,24516
858,Christine Mclean,F,33,24,80811
859,Joseph Johnson,M,28,13,45098
875,Gregory Nunez,M,44,23,24665
892,Sarah Humphrey,F,39,26,60004
900,Grace Lester,F,32,30,23409
924,Nicole Allison,F,65,28,05516
927,Sarah Stevens,F,59,12,21014
942,Laura Huerta,F,66,8,52949
948,Danielle Jones,F,34,14,41662
954,Charles Guzman,M,59,26,41578
967,Shane Graham,M,32,1,02462
983,Deborah Joyce,F,68,16,20559
997,Caitlin Mclaughlin,F,54,17,63244
1042,Robert Cisneros,M,25,4,51167
1048,James Mason,M,23,20,03989
1074,Gregory Williamson,M,63,23,50791
1103,Peter Dixon,M,23,7,23909
1156,Nicole Gallagher,F,35,6,92845
1157,Marissa Romero,F,48,26,34098
1175,Lori Cortez,F,62,22,29573
1187,Edward Herrera,M,60,8,73153
1209,Joseph Taylor,M,36,18,72102
1211,Jorge Lopez,M,48,24,08097
1222,Brian Graham,M,43,28,51833
1228,Elijah Mueller,M,47,24,81677
1254,Robert Cooper,M,38,30,69016
